date,area,alpha_3,variable,generation_twh
2020-08-01T00:00:00Z,Austria,AUT,Gas,0.3897072
2020-08-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-08-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2020-08-01T00:00:00Z,Austria,AUT,Bioenergy,0.138048
2020-08-01T00:00:00Z,Austria,AUT,Hydro,3.4398708
2020-08-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2020-08-01T00:00:00Z,Austria,AUT,Solar,0.09639199999999999
2020-08-01T00:00:00Z,Austria,AUT,Wind,0.400592
2020-08-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2020-09-01T00:00:00Z,Austria,AUT,Demand,4.8644792
2020-09-01T00:00:00Z,Austria,AUT,Production,4.3774147999999995
2020-09-01T00:00:00Z,Austria,AUT,Net imports,0.07617132
2020-09-01T00:00:00Z,Austria,AUT,Gas,0.3841236
2020-09-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-09-01T00:00:00Z,Austria,AUT,Other fossil,0.01584
2020-09-01T00:00:00Z,Austria,AUT,Bioenergy,0.13300399999999998
2020-09-01T00:00:00Z,Austria,AUT,Hydro,3.2183648
2020-09-01T00:00:00Z,Austria,AUT,Other renewables,5.04e-5
2020-09-01T00:00:00Z,Austria,AUT,Solar,0.09064799999999999
2020-09-01T00:00:00Z,Austria,AUT,Wind,0.463384
2020-09-01T00:00:00Z,Austria,AUT,Waste,0.072
2020-10-01T00:00:00Z,Austria,AUT,Demand,5.3442324
2020-10-01T00:00:00Z,Austria,AUT,Production,5.03694608
2020-10-01T00:00:00Z,Austria,AUT,Net imports,0.06710817
2020-10-01T00:00:00Z,Austria,AUT,Gas,0.781606
2020-10-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-10-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2020-10-01T00:00:00Z,Austria,AUT,Bioenergy,0.13953200000000002
2020-10-01T00:00:00Z,Austria,AUT,Hydro,3.229808
