country,state,date,variable,generation_gwh,share_of_generation_pct,emissions_ktco2,share_of_emissions_pct
Türkiye,Adana,2019-12-01,Bioenergy,9.22,0.56,2.12,0.2
Türkiye,Adana,2019-12-01,Coal,1261.91,76.53,1034.77,98.5
Türkiye,Adana,2019-12-01,Gas,9.26,0.56,4.54,0.43
Türkiye,Adana,2019-12-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-12-01,Hydro,359.88,21.82,8.64,0.82
Türkiye,Adana,2019-12-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-12-01,Solar,8.67,0.53,0.42,0.04
Türkiye,Adana,2019-12-01,Wind,0,0,0,0
Türkiye,Adana,2020-01-01,Bioenergy,9.47,0.54,2.18,0.21
Türkiye,Adana,2020-01-01,Coal,1270.14,72.75,1041.51,98.18
Türkiye,Adana,2020-01-01,Gas,12.15,0.7,5.95,0.56
Türkiye,Adana,2020-01-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-01-01,Hydro,443.5,25.4,10.64,1
Türkiye,Adana,2020-01-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-01-01,Solar,10.63,0.61,0.51,0.05
Türkiye,Adana,2020-01-01,Wind,0,0,0,0
Türkiye,Adana,2020-02-01,Bioenergy,11.11,0.54,2.56,0.25
Türkiye,Adana,2020-02-01,Coal,1192.26,57.94,977.65,97.16
Türkiye,Adana,2020-02-01,Gas,11.28,0.55,5.53,0.55
Türkiye,Adana,2020-02-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-02-01,Hydro,831.58,40.41,19.96,1.98
Türkiye,Adana,2020-02-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-02-01,Solar,11.4,0.55,0.55,0.05
Türkiye,Adana,2020-02-01,Wind,0,0,0,0
Türkiye,Adana,2020-03-01,Bioenergy,13.46,0.64,3.1,0.36
Türkiye,Adana,2020-03-01,Coal,998.81,47.31,819.02,95.9
Türkiye,Adana,2020-03-01,Gas,11.05,0.52,5.41,0.63
Türkiye,Adana,2020-03-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-03-01,Hydro,1072.16,50.78,25.73,3.01
Türkiye,Adana,2020-03-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-03-01,Solar,15.8,0.75,0.76,0.09
Türkiye,Adana,2020-03-01,Wind,0,0,0,0
Türkiye,Adana,2020-04-01,Bioenergy,12.19,0.69,2.8,0.48
Türkiye,Adana,2020-04-01,Coal,677.51,38.56,555.56,94.29
Türkiye,Adana,2020-04-01,Gas,10.21,0.58,5,0.85
Türkiye,Adana,2020-04-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-04-01,Hydro,1037.77,59.06,24.91,4.23
Türkiye,Adana,2020-04-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-04-01,Solar,19.48,1.11,0.94,0.16
Türkiye,Adana,2020-04-01,Wind,0,0,0,0
Türkiye,Adana,2020-05-01,Bioenergy,13.1,0.82,3.01,0.45
Türkiye,Adana,2020-05-01,Coal,779.72,49,639.37,95.84
Türkiye,Adana,2020-05-01,Gas,10.76,0.68,5.27,0.79
Türkiye,Adana,2020-05-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-05-01,Hydro,765.4,48.1,18.37,2.75
Türkiye,Adana,2020-05-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-05-01,Solar,22.32,1.4,1.07,0.16
Türkiye,Adana,2020-05-01,Wind,0,0,0,0
Türkiye,Adana,2020-06-01,Bioenergy,11.36,0.71,2.61,0.28
Türkiye,Adana,2020-06-01,Coal,1103.51,69.34,904.88,97.92
Türkiye,Adana,2020-06-01,Gas,9.91,0.62,4.86,0.53
Türkiye,Adana,2020-06-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-06-01,Hydro,444.77,27.95,10.67,1.15
Türkiye,Adana,2020-06-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-06-01,Solar,21.92,1.38,1.05,0.11
Türkiye,Adana,2020-06-01,Wind,0,0,0,0
Türkiye,Adana,2020-07-01,Bioenergy,13.81,0.83,3.18,0.3
Türkiye,Adana,2020-07-01,Coal,1271.91,76.18,1042.97,98.33
Türkiye,Adana,2020-07-01,Gas,10.27,0.62,5.03,0.47
Türkiye,Adana,2020-07-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-07-01,Hydro,350.83,21.01,8.42,0.79
Türkiye,Adana,2020-07-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-07-01,Solar,22.7,1.36,1.09,0.1
Türkiye,Adana,2020-07-01,Wind,0,0,0,0
Türkiye,Adana,2020-08-01,Bioenergy,13.9,0.91,3.2,0.32
Türkiye,Adana,2020-08-01,Coal,1215.23,79.3,996.49,98.46
Türkiye,Adana,2020-08-01,Gas,9.88,0.64,4.84,0.48
Türkiye,Adana,2020-08-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-08-01,Hydro,270.92,17.68,6.5,0.64
Türkiye,Adana,2020-08-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-08-01,Solar,22.45,1.47,1.08,0.11
Türkiye,Adana,2020-08-01,Wind,0,0,0,0
Türkiye,Adana,2020-09-01,Bioenergy,12.68,0.87,2.92,0.3
Türkiye,Adana,2020-09-01,Coal,1174.51,80.13,963.1,98.47
Türkiye,Adana,2020-09-01,Gas,10.48,0.72,5.14,0.53
Türkiye,Adana,2020-09-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-09-01,Hydro,250.35,17.08,6.01,0.61
Türkiye,Adana,2020-09-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-09-01,Solar,17.71,1.21,0.85,0.09
Türkiye,Adana,2020-09-01,Wind,0,0,0,0
Türkiye,Adana,2020-10-01,Bioenergy,9.92,1.04,2.28,0.38
Türkiye,Adana,2020-10-01,Coal,706.83,73.87,579.6,97.67
Türkiye,Adana,2020-10-01,Gas,11.55,1.21,5.66,0.95
Türkiye,Adana,2020-10-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-10-01,Hydro,212.47,22.2,5.1,0.86
Türkiye,Adana,2020-10-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-10-01,Solar,16.14,1.69,0.77,0.13
Türkiye,Adana,2020-10-01,Wind,0,0,0,0
Türkiye,Adana,2020-11-01,Bioenergy,9.02,0.72,2.07,0.24
Türkiye,Adana,2020-11-01,Coal,1054.54,84.1,864.72,98.72
Türkiye,Adana,2020-11-01,Gas,9.09,0.72,4.45,0.51
Türkiye,Adana,2020-11-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-11-01,Hydro,168.97,13.48,4.06,0.46
Türkiye,Adana,2020-11-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-11-01,Solar,12.22,0.97,0.59,0.07
Türkiye,Adana,2020-11-01,Wind,0,0,0,0
Türkiye,Adana,2020-12-01,Bioenergy,10.47,0.83,2.41,0.28
Türkiye,Adana,2020-12-01,Coal,1040.16,82.16,852.93,98.52
Türkiye,Adana,2020-12-01,Gas,10.66,0.84,5.22,0.6
Türkiye,Adana,2020-12-01,Geothermal,0,0,0,0
Türkiye,Adana,2020-12-01,Hydro,193.32,15.27,4.64,0.54
Türkiye,Adana,2020-12-01,Other Fossil,0,0,0,0
Türkiye,Adana,2020-12-01,Solar,11.44,0.9,0.55,0.06
Türkiye,Adana,2020-12-01,Wind,0,0,0,0
Türkiye,Adana,2021-01-01,Bioenergy,15.87,1.21,3.65,0.46
Türkiye,Adana,2021-01-01,Coal,950.49,72.52,779.4,98.14
Türkiye,Adana,2021-01-01,Gas,5.49,0.42,2.69,0.34
Türkiye,Adana,2021-01-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-01-01,Hydro,326.16,24.88,7.83,0.99
Türkiye,Adana,2021-01-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-01-01,Solar,11.72,0.89,0.56,0.07
Türkiye,Adana,2021-01-01,Wind,0.99,0.08,0.01,0
Türkiye,Adana,2021-02-01,Bioenergy,17.47,1.2,4.02,0.45
Türkiye,Adana,2021-02-01,Coal,1080.8,74,886.26,98.5
Türkiye,Adana,2021-02-01,Gas,0.95,0.07,0.47,0.05
Türkiye,Adana,2021-02-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-02-01,Hydro,344.02,23.55,8.26,0.92
Türkiye,Adana,2021-02-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-02-01,Solar,16.03,1.1,0.77,0.09
Türkiye,Adana,2021-02-01,Wind,1.36,0.09,0.01,0
Türkiye,Adana,2021-03-01,Bioenergy,20.35,1.18,4.68,0.47
