country,state,year,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Arunachal Pradesh,2020,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Renewables,3200.6,100.0,951.71,76.86,100.0
India,Arunachal Pradesh,2020,Solar,1.64,0.05,5.61,0.08,0.1
India,Arunachal Pradesh,2020,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Wind and solar,1.64,0.05,5.61,0.08,0.1
India,Arunachal Pradesh,2021,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Clean,4064.31,100.0,1257.34,97.58,100.0
India,Arunachal Pradesh,2021,Coal,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Hydro,4062.6,99.96,1246.11,97.5,99.92
India,Arunachal Pradesh,2021,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Renewables,4064.31,100.0,1257.34,97.58,100.0
India,Arunachal Pradesh,2021,Solar,1.71,0.04,11.23,0.08,0.08
India,Arunachal Pradesh,2021,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2021,Wind and solar,1.71,0.04,11.23,0.08,0.08
India,Arunachal Pradesh,2022,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Clean,4859.21,100.0,1259.63,117.16,100.0
India,Arunachal Pradesh,2022,Coal,0.0,0.0,0.0,0.0,0.0
